method,number,orbital_period,mass,distance,year
Imaging,1,,,40.85,2006
Radial Velocity,3,1931.0,4.05,47.3,2009
Radial Velocity,3,34.873,0.054,47.3,2011
Radial Velocity,3,2831.6,1.68,47.3,2012
Radial Velocity,1,1733.0,0.266,26.95,2011
Radial Velocity,1,279.8,1.37,90.33,2008
Radial Velocity,1,610.0,2.2,170.07,2009
Radial Velocity,2,161.97,,55.31,2012
Radial Velocity,2,1155.7,,55.31,2012
Radial Velocity,1,123.0,0.45,43.99,2004
Radial Velocity,1,875.5,9.9,352.11,2012
Radial Velocity,1,3.52474859,,47.08,1999
Radial Velocity,1,442.1,1.23,21.29,1998
Radial Velocity,1,354.8,,55.93,2007
Radial Velocity,1,2.245715,0.45,52.72,2005
Radial Velocity,1,373.3,2.3,121.8,2009
Radial Velocity,1,951.0,4.5,40.75,2001
Radial Velocity,2,7.2825,0.0087,21.52,2011
Radial Velocity,2,10.866,0.0097,21.52,2011
Radial Velocity,2,191.99,0.101,38.64,2011
Radial Velocity,2,2277.0,0.246,38.64,2011
Radial Velocity,2,3.93,0.017,43.53,2009
Radial Velocity,2,567.0,0.33,43.53,2009
Radial Velocity,1,1311.0,1.26,33.29,2002
Radial Velocity,1,1294.0,2.1,26.52,2002
Radial Velocity,1,118.45,0.65,37.89,2003
Radial Velocity,2,7.126816,1.39,19.72,1998
Radial Velocity,2,4270.0,2.6,19.72,2005
Radial Velocity,1,1319.0,13.0,54.92,2010
Radial Velocity,1,225.7,0.21,29.94,2010
Radial Velocity,1,5501.0,10.39,29.2,2012
Radial Velocity,1,2093.3,,,2012
Radial Velocity,1,3.8335,0.06,81.1,2007
Radial Velocity,1,672.1,11.1,289.02,2012
Radial Velocity,1,2209.0,1.06,45.23,2012
Radial Velocity,1,3724.7,1.45,48.43,2011
Radial Velocity,1,456.1,3.09,52.88,2007
Radial Velocity,1,3999.0,1.9,50.45,2011
Radial Velocity,1,572.38,7.75,41.95,1999
Radial Velocity,1,26.73,0.71,94.07,2006
Radial Velocity,1,141.6,1.08,108.46,2007
Radial Velocity,1,192.0,6.575,,2013
Radial Velocity,1,501.75,6.9,,2009
Radial Velocity,1,745.7,5.3,307.69,2011
Radial Velocity,1,2443.0,2.54,54.92,2009
Radial Velocity,1,8.7836,0.0265,9.42,2008
Radial Velocity,1,3.369,0.76,50.2,2004
Radial Velocity,2,345.72,1.42,44.8,2009
Radial Velocity,2,9017.8,,44.8,2011
Radial Velocity,1,57.0,0.47,23.8,2010
Radial Velocity,1,16.2,1.25,223.21,2010
Radial Velocity,3,6.673855,3.88,52.88,2005
Radial Velocity,3,147.73,1.28,52.88,2006
Radial Velocity,3,952.0,0.57,52.88,2009
Radial Velocity,1,41.397,0.298,11.03,2010
Radial Velocity,3,8.1352,0.036,25.87,2011
Radial Velocity,3,32.03,0.41,25.87,2011
Radial Velocity,3,431.7,0.527,25.87,2011
Imaging,1,,,11.43,2010
Radial Velocity,1,124.6,9.18,149.25,2013
Radial Velocity,1,17337.5,9.0,23.98,2009
Radial Velocity,1,511.098,8.82,31.33,2002
Imaging,1,,,131.93,2010
Radial Velocity,1,111.7,2.1,14.9,2009
Radial Velocity,1,5.0505,1.068,44.46,2013
Radial Velocity,1,311.288,1.94,17.24,1999
Imaging,4,170000.0,,39.94,2008
Imaging,4,69000.0,,39.94,2008
Imaging,4,37000.0,,39.94,2008
Imaging,4,18000.0,,39.94,2010
Transit,1,1.217514,,262.0,2012
Transit,1,4.1137912,,124.22,2012
Transit,1,2.7033904,1.47,178.0,2013
Transit,1,7.8457,,222.0,2014
Transit,1,2.47063,,213.0,2006
Transit,1,2.204737,,320.0,2008
Transit,1,4.8878162,,38.0,2008
Transit,1,3.21346,,550.0,2009
Transit,1,3.54846,,,2009
Transit,1,3.234723,,,2009
Transit,1,4.885525,,,2009
Transit,1,3.52254,,1330.0,2010
Transit,3,19.24,,650.0,2010
Transit,3,38.91,,650.0,2010
Transit,3,1.592851,,650.0,2010
Transit,2,0.837495,,173.0,2011
Transit,2,45.29485,,173.0,2011
Transit,6,10.3039,,613.0,2010
Transit,6,13.0241,,613.0,2010
Transit,6,22.6845,,613.0,2010
Transit,6,31.9996,,613.0,2010
Transit,6,46.6888,,613.0,2010
Transit,6,118.3807,,613.0,2010
Transit,1,4.4379637,,600.0,2011
Transit,1,1.7635892,,,2011
Transit,1,6.790123,,980.0,2011
Transit,1,4.942782,,,2011
Transit,1,228.776,,61.0,2011
Transit,1,1.4857108,,800.0,2011
Transit,3,3.504725,,,2011
Transit,3,7.64159,,,2011
Transit,3,14.85888,,,2011
Transit,2,9.2869944,,2119.0,2011
Transit Timing Variations,2,160.0,,2119.0,2011
Transit,5,3.6961219,,290.0,2011
Transit,5,10.854092,,290.0,2011
Transit,5,77.61184,,290.0,2011
Transit,5,6.098493,,290.0,2011
Transit,5,19.57706,,290.0,2011
Transit,1,2.785755,,108.0,2011
Transit,1,289.8623,,190.0,2011
Transit,2,7.1073,,800.0,2011
Transit,2,10.7421,,800.0,2011
Transit,2,8.1453,,1200.0,2011
Transit,2,12.3335,,1200.0,2011
Transit,3,6.2385,,,2011
Transit,3,12.7204,,,2011
Radial Velocity,3,123.0,,,2014
Transit,2,12.2829,,,2011
Transit,2,17.2513,,,2011
Transit,2,15.3348,,,2011
Transit,2,31.3309,,,2011
Transit,2,5.9123,,,2011
Transit,2,8.9858,,,2011
Transit,2,10.3376,,1400.0,2011
Transit,2,13.2907,,1400.0,2011
Transit,3,29.33434,,1400.0,2012
Transit,3,60.323105,,1400.0,2012
Transit,3,143.34394,,1400.0,2012
Transit,2,20.8613,,2100.0,2011
Transit,2,42.6318,,2100.0,2011
Transit,5,5.90124,,303.0,2011
Transit,5,8.7522,,303.0,2011
Transit,5,22.7802,,303.0,2012
Transit,5,2.896,,303.0,2012
Transit,5,0.74296,,303.0,2012
Transit,5,5.66793,,,2011
Transit,5,13.17562,,,2011
Transit,5,21.77596,,,2011
Transit,5,31.7844,,,2011
Transit,5,41.02902,,,2011
Transit,1,288.822,,1499.0,2011
Transit,1,131.458,,1645.0,2011
Transit,2,13.83989,,470.0,2012
Transit,2,16.23855,,470.0,2012
Transit,3,13.367308,,66.0,2013
Transit,3,21.301886,,66.0,2013
Transit,3,39.792187,,66.0,2013
Transit,1,105.599,,600.0,2012
Transit,1,21.0874,,1200.0,2011
Transit,1,6.87349,,2700.0,2010
Transit,1,1.855558,,770.0,2011
Transit,3,1.2137672,,38.7,2011
Transit,3,0.45328509,,38.7,2011
Transit,3,1.865169,,38.7,2011
Transit,1,3.024095,,1950.0,2011
Transit,1,3.24674,,2250.0,2011
Transit,1,2.455239,,333.0,2011
Transit,2,33.60134,,855.0,2012
Transit Timing Variations,2,57.011,,855.0,2012
Transit,2,49.532,,1500.0,2012
Transit,2,303.137,,1500.0,2012
Transit,4,4.7779803,,,2012
Transit,4,9.6739283,,,2012
Transit,4,42.8961,,,2014
Radial Velocity,4,982.0,,,2014
Transit,2,7.2037945,,,2012
Transit,2,10.9129343,,,2012
Transit,2,7.81254,,,2012
Transit,2,9.37647,,,2012
Transit,3,45.154,,,2012
Transit,3,85.312,,,2012
Transit Timing Variations,3,,,,2014
Transit,2,7.8773565,,,2012
Transit,2,16.3850021,,,2012
Transit,2,18.6489525,,,2012
Transit,2,38.5583038,,,2012
Transit,2,8.0109434,,,2012
Transit,2,12.0717249,,,2012
Transit,2,27.9481449,,,2012
Transit,2,42.1516418,,,2012
Transit,2,10.5016,,,2012
Transit,2,21.40239,,,2012
Transit,2,5.7293196,,,2012
Transit,2,11.6092567,,,2012
Transit,2,10.2184954,,,2012
Transit,2,15.5741568,,,2012
Transit,2,11.8681707,,,2012
Transit,2,17.9801235,,,2012
Transit,3,7.1316185,,,2012
Transit,3,8.9193459,,,2012
Transit,3,11.9016171,,,2012
Transit,1,59.87756,,,2013
Transit,5,5.714932,,368.0,2013
Transit,5,12.4417,,368.0,2013
Transit,5,18.16406,,368.0,2013
Transit,5,122.3874,,368.0,2013
Transit,5,267.291,,368.0,2013
Transit,1,9.4341505,,200.0,2013
Transit,1,138.317,,1000.0,2012
Transit,3,2.15491,,,2012
Transit,3,5.859944,,,2012
Transit,3,8.13123,,,2012
Transit,1,17.815815,,1107.0,2013
Transit,1,15.7259,,1107.0,2013
Transit,3,5.398763,,135.0,2012
Transit,3,9.605085,,135.0,2012
Radial Velocity,3,580.0,0.947,135.0,2012
Transit,2,13.722341,,,2013
Transit,2,242.4613,,,2013
Orbital Brightness Modulation,2,0.240104,,1180.0,2011
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Transit,1,3.90512,,800.0,2010
Transit,1,7.340718,,1330.0,2013
Transit,1,8.884924,,1140.0,2013
Orbital Brightness Modulation,1,1.54492875,,,2013
Transit,1,3.57878087,,570.0,2013
Transit,1,0.355,,,2013
Transit,2,13.485,,,2012
Transit,2,27.402,,,2012
Transit,2,7.053,,,2012
Transit,2,9.522,,,2012
Transit,2,5.955,,,2012
Transit,2,12.04,,,2012
Transit,2,26.444,,,2012
Transit,2,51.538,,,2012
Transit,2,9.77,,,2012
Transit,2,20.09,,,2012
Transit,2,8.726,,,2012
Transit,2,12.883,,,2012
Transit,2,8.306,,,2012
Transit,2,12.513,,,2012
Transit,1,282.5255,,,2013
Transit,2,114.73635,,,2013
Transit,2,191.2318,,,2013
Transit,2,10.95416,,339.0,2013
Transit Timing Variations,2,22.3395,,339.0,2013
Transit,4,3.743208,,,2013
Transit,4,10.423648,,,2013
Transit,4,22.342989,,,2013
Transit,4,54.32031,,,2013
Transit,7,7.008151,,780.0,2013
Transit,7,8.719375,,780.0,2013
Transit,7,59.73667,,780.0,2013
Transit,7,91.93913,,780.0,2013
Transit,7,124.9144,,780.0,2013
Transit,7,210.60697,,780.0,2013
Transit,7,331.60059,,780.0,2013
Transit,1,6.24658,,1030.0,2013
Transit,2,13.749,,,2013
Transit,2,26.723,,,2013
Transit,2,4.72674,,,2014
Radial Velocity,2,1460.0,,,2014
Transit,2,2.50806,,,2014
Radial Velocity,2,820.3,,,2014
Transit,1,11.5231,,,2014
Transit,1,16.2385,,,2014
Transit,2,2.58664,,,2014
Radial Velocity,2,789.0,,,2014
Transit,1,1.54168,,,2014
Transit,1,4.60358,,,2014
Transit,3,6.88705,,,2014
Transit,3,12.8159,,,2014
Transit,3,35.3331,,,2014
Transit,5,5.28696,,,2014
Transit,5,7.07142,,,2014
Transit,5,10.3117,,,2014
Transit,5,16.1457,,,2013
Transit,5,27.4536,,,2014
Transit,2,15.9654,,,2014
Transit,2,179.612,,,2014
Transit,2,5.4122,,,2013
Transit,4,6.16486,,,2014
Transit,4,13.5708,,,2014
Transit,4,23.9802,,,2014
Transit,4,43.8445,,,2014
Transit,2,6.48163,,,2014
Transit,2,21.2227,,,2014
Transit,2,4.754,,,2014
Transit,2,8.92507,,,2014
Transit,2,8.041,,,2013
Transit,2,11.776,,,2013
Transit,2,15.09,,,2013
Transit,2,22.804,,,2013
Transit,3,27.50868,,,2013
Transit,2,16.092,,,2014
Transit,2,25.5169,,,2014
Transit,2,13.78164,,,2014
Transit,2,23.08933,,,2014
Transit,2,22.951,,,2013
Transit,2,42.882,,,2013
Transit,2,36.855,,,2013
Transit,2,49.412,,,2013
Transit,2,23.654,,,2013
Transit,2,50.447,,,2013
Transit,2,31.884,,,2013
Transit,2,48.648,,,2013
Transit,2,17.324,,,2013
Transit,2,33.006,,,2013
Transit,2,35.736,,,2013
Transit,2,54.414,,,2013
Transit,2,24.806,,,2013
Transit,2,44.347,,,2013
Transit,2,5.487,,,2013
Transit,2,8.291,,,2013
Transit,2,10.416,,,2013
Transit,2,13.084,,,2013
Transit,2,34.921,,,2013
Transit,2,71.312,,,2013
Transit,2,17.849,,,2013
Transit,2,26.136,,,2013
Transit,2,42.994,,,2013
Transit,2,88.505,,,2013
Transit,2,2.42629,,,2014
Transit,2,4.62332,,,2014
Transit,2,0.66931,,,2014
Radial Velocity,2,3000.0,,,2014
Transit,1,2.46502,,,2014
Transit,1,68.9584,,,2014
Transit,1,17.833648,,132.0,2013
Transit,1,3.00516,,,2013
Transit,1,1.72086123,,1056.0,2014
Transit,1,66.262,,,2014
Imaging,1,40000.0,,,2011
Transit,1,3.91405,,2000.0,2007
Microlensing,1,,,,2008
Microlensing,1,,,,2008
Microlensing,1,,,,2009
Microlensing,1,,,3600.0,2013
Microlensing,1,2780.0,,,2011
Microlensing,1,,,,2010
Microlensing,1,1970.0,,,2010
Microlensing,1,,,2300.0,2012
Microlensing,1,,,2800.0,2012
Microlensing,1,,,7720.0,2012
Microlensing,1,,,7560.0,2013
Radial Velocity,1,677.8,19.8,,2007
Radial Velocity,1,6.958,0.34,,2014
Radial Velocity,1,5.118,0.4,,2014
Radial Velocity,1,121.71,1.54,,2014
Microlensing,1,,,,2004
Microlensing,1,3600.0,,,2005
Microlensing,1,3300.0,,,2006
Microlensing,1,3500.0,,,2005
Microlensing,2,1825.0,,,2008
Microlensing,2,5100.0,,,2008
Microlensing,1,,,,2009
Microlensing,1,,,2570.0,2012
Microlensing,2,,,4080.0,2012
Microlensing,2,,,4080.0,2012
Microlensing,1,,,1760.0,2013
Microlensing,1,,,4970.0,2013
Transit,1,2.4855335,,,2008
Transit,1,3.101278,,,2004
Transit,1,1.2119189,,,2002
Transit,1,4.0161,,,2004
Transit,1,1.4324752,,600.0,2004
Transit,1,1.689868,,2500.0,2004
Transit,1,3.9791,,,2007
Transit,1,3.67724,,,2007
Imaging,1,730000.0,,,2006
Transit,1,3.1606296,,1200.0,2013
Radial Velocity,1,4.4264,,,2012
Radial Velocity,1,2.1451,,,2012
Pulsar Timing,3,25.262,,,1992
Pulsar Timing,3,66.5419,,,1992
Pulsar Timing,3,98.2114,,,1994
Pulsar Timing,1,36525.0,,,2003
Pulsar Timing,1,0.09070629,,1200.0,2011
Transit,1,1.420033,,,2010
Transit,1,1.3371182,,,2011
Imaging,1,,,135.0,2013
Imaging,1,,,120.0,2013
Imaging,1,,,,2010
Transit,1,4.2,,8500.0,2006
Transit,1,1.796,,8500.0,2006
Transit,1,3.030065,,152.3,2004
Transit,1,1.30618581,,228.0,2007
Transit,1,3.553945,,492.0,2007
Transit,1,1.4822446,,360.0,2011
Imaging,1,,,,2008
Pulsation Timing Variations,1,1170.0,,,2007
Transit,1,2.5199449,,408.0,2007
Transit,1,2.152226,,147.0,2007
Transit,1,1.846835,,220.0,2007
Transit,1,1.33823187,,300.0,2007
Transit,1,1.62843142,,300.0,2008
Transit,1,3.361006,,,2009
Transit,1,4.954658,,140.0,2008
Transit,1,8.158715,,87.0,2010
Transit,1,3.0927616,,90.0,2008
Transit,1,3.7224747,,121.7,2008
Transit,1,1.091423,,,2008
Transit,1,4.353011,,155.0,2009
Transit,1,2.243752,,160.0,2008
Transit,1,3.7520656,,,2009
Transit,1,3.1186009,,,2009
Transit,1,3.7354417,,400.0,2009
Transit,1,0.94145299,,105.49,2009
Transit,1,0.78884,,250.0,2009
Transit,1,4.322482,,242.0,2010
Transit,1,3.5327313,,300.0,2010
Transit,1,2.9444256,,,2010
Transit,1,2.34121242,,,2010
Transit,1,3.764825,,,2010
Transit,1,2.7566004,,250.0,2010
Transit,1,3.408821,,,2010
Transit,1,3.922727,,70.0,2010
Transit,1,3.4059096,,360.0,2010
Transit,1,2.718659,,,2010
Transit,1,1.2198669,,116.14,2010
Transit,1,4.3176782,,120.0,2010
Transit,1,3.161575,,,2011
Transit,1,1.5373653,,450.0,2011
Transit,1,3.577469,,343.0,2010
Transit,1,6.871815,,110.0,2010
Transit,1,4.055259,,230.0,2011
Transit,1,3.052401,,180.0,2010
Transit,1,4.9816872,,160.0,2012
Transit,1,0.813475,,80.0,2011
Transit,1,2.4238039,,,2011
Transit,1,3.1260876,,,2011
Transit,1,1.43037,,,2011
Transit,1,4.1591399,,200.0,2012
Transit,1,2.143634,,,2011
Transit,1,2.7817387,,170.0,2012
Transit,1,1.9550959,,230.0,2011
Transit,1,1.7497798,,140.0,2012
Transit,1,3.6936411,,200.0,2012
Transit,1,4.465633,,330.0,2012
Transit,1,4.617101,,255.0,2012
Transit,1,2.838971,,455.0,2012
Transit,1,5.01718,,300.0,2012
Transit,1,7.919585,,125.0,2012
Transit,1,4.3050011,,400.0,2012
Transit,1,3.8559,,480.0,2012
Transit,1,4.411953,,160.0,2012
Transit,1,4.37809,,330.0,2012
Transit,1,1.5732918,,350.0,2012
Transit,1,2.3114243,,310.0,2013
Transit,1,4.086052,,380.0,2012
Transit,1,4.61442,,225.0,2012
Transit,1,2.9036747,,345.0,2012
Transit,1,2.2167421,,340.0,2012
Transit,1,2.484193,,260.0,2013
Transit,1,1.3600309,,93.0,2012
Transit,1,2.17517632,,550.0,2012
Transit,1,3.6623866,,240.0,2012
Transit,1,3.0678504,,60.0,2012
Transit,1,0.925542,,470.0,2014
Imaging,1,,,19.2,2011
Transit,1,3.352057,,3200.0,2012
Imaging,1,,,10.1,2012
Transit,1,3.94150685,,172.0,2006
Transit,1,2.615864,,148.0,2007
Transit,1,3.1915239,,174.0,2007
Transit,1,4.1250828,,293.0,2008
Transit,1,4.187757,,260.0,2008
